name,namefa,density,priceunit,,,,,,
s304,استیل 304,8.22,4000000,,,,,,
s316,استیل 316,8.18,4100000,,,,,,
monel ,مونل,8.8,8880000,,,,,,
inconel ,اینکونل,8.5,9990000,,,,,,
hastelloy,هستلوی,8.9,10100000,,,,,,
aluminium,آلومینیوم,2.7,2200000,,,,,,
titanium,تیتانیوم,4.7,8500000,,,,,,
nickel,نیکل,8.9,5000000,,,,,,
chromium,کروم,7.2,12300000,,,,,,
copper,مس,8.95,6853000,,,,,,
bronze,برنز,8.55,7560000,,,,,,
bras,برنج,8.7,7320000,,,,,,
zink,روی,7,7080000,,,,,,
silver,نقره,10.5,684230000,,,,,,
lead,سرب,11.4,6860000,,,,,,
magnesium,منیزیم,1.74,21350000,,,,,,
tin,قلع,6.55,6120000,,,,,,
graphite,گرافیت,2.25,2680000,,,,,,
tungsten,تنگستن,19.3,56000000,,,,,,
gold,طلا,19.3,54000000000,,,,,,
pltinum,پلاتین,21.4,51600000000,,,,,,
paladium,پالادیوم,12.2,492000000,,,,,,
cobalt,کبالت,8.66,4680000,,,,,,
germanium,ژرمانیوم,5.4,44400000,,,,,,
rhodium,رودیوم,12.44,4200000,,,,,,
cs,فولاد کربنی,8,1080000,,,,,,
iron,آهن,7,1150000,,,,,,
st37,کربن استیل اس تی 37,7.7,1120000,,,,,,
glas,شیشه,3.1,3720000,,,,,,
gasket,گسکت,1.2,3480000,,,,,,
wooden box ,جعبه چوبی,0.8,1160000,,,,,,
cardboard box,جعبه مقوایی,0.6,645000,,,,,,
styrofoam,چوب پنبه,0.3,895000,,,,,,
composite,کامپوزیت,1,1880000,,,,,,
rubber,لاستیک,2,1650000,,,,,,
plastic,پلاستیک,1.5,1200000,,,,,,
fep,تفلون,4,1500000,,,,,,
ptfe,تفلون,3,2200000,,,,,,
pvc,پی وی سی,2,1000000,,,,,,
tef,تفلون,2.5,1280000,,,,,,
